feature1	feature2	r
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_fad50f143ebd5dfc60066f534061a2e2	0.2513
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_fad50f143ebd5dfc60066f534061a2e2	-0.6793
bac_d8ec847a1b580b973a6d39850b67cff7	bac_fad50f143ebd5dfc60066f534061a2e2	0.1787
bac_bb6cffbd750dd68856a8f953f207e12b	bac_fad50f143ebd5dfc60066f534061a2e2	0.8613
bac_7ef1a0dae839d9d8f6a042cdf4a6a992	bac_fad50f143ebd5dfc60066f534061a2e2	-0.6706
bac_7da83bf0ed37b029b57059c335b5e835	bac_fad50f143ebd5dfc60066f534061a2e2	-0.3679
bac_2df133d83b53d33a81a3fc48ac2075c6	bac_fad50f143ebd5dfc60066f534061a2e2	0.1861
bac_ed894aad9c149829ff0253eb2fe043d9	bac_fad50f143ebd5dfc60066f534061a2e2	0.2569
bac_2c1b14313bb8fc6f13f02a14ca5e7c50	bac_fad50f143ebd5dfc60066f534061a2e2	0.7459
bac_11e801efba707866d1e97aba33566102	bac_fad50f143ebd5dfc60066f534061a2e2	-0.2613
bac_ebff2c84f781472a24018db9354b867c	bac_fad50f143ebd5dfc60066f534061a2e2	0.2291
bac_cc3bbc2fa5dcf3ca93a25f5da49d7d1d	bac_fad50f143ebd5dfc60066f534061a2e2	-0.4259
bac_554e6ed34da09de9e9a60029b084f4c6	bac_fad50f143ebd5dfc60066f534061a2e2	-0.3746
bac_5342d4711395d118f0217964e6068eb3	bac_fad50f143ebd5dfc60066f534061a2e2	-0.4099
bac_3195352ebd3b497af5329b6d9bb0ad49	bac_fad50f143ebd5dfc60066f534061a2e2	0.3841
bac_34b00032b86600c60881db7136a38c3d	bac_fad50f143ebd5dfc60066f534061a2e2	-0.4665
bac_70285f7e5298ef76c6079d23decbae2d	bac_fad50f143ebd5dfc60066f534061a2e2	0.5077
bac_ae101a824af3ec1acd53410b8ebf41e7	bac_fad50f143ebd5dfc60066f534061a2e2	-0.5895
bac_f094f62eb5efc6e4df1c29c7d70371f5	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0303
bac_f262a1adf251a3a793d3daa235e35e73	bac_fad50f143ebd5dfc60066f534061a2e2	0.1075
bac_1f8eb803b5d14b958d448f7cba30666c	bac_fad50f143ebd5dfc60066f534061a2e2	0.4682
bac_67f48d5e7b609cccc44fe8d22d3dca0a	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0017
bac_6f545fbcb122ef26d794750b06c0d6a4	bac_fad50f143ebd5dfc60066f534061a2e2	-0.5612
bac_b841b4a4279c0953f40dd587fb55d892	bac_fad50f143ebd5dfc60066f534061a2e2	-0.2286
bac_7334acedf2e60af538eaff59e499c2c9	bac_fad50f143ebd5dfc60066f534061a2e2	-0.2465
bac_39516e82e7b507c0659c83bbcb780dc5	bac_fad50f143ebd5dfc60066f534061a2e2	0.143
bac_2da924029cfd4c7fe3765b362a915f4a	bac_fad50f143ebd5dfc60066f534061a2e2	0.2763
bac_632fb2f5131661bf841197fddaf81998	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0306
bac_b6d81317326d18e5c954e6eae8820a6a	bac_fad50f143ebd5dfc60066f534061a2e2	0.1104
bac_de451fb33ed58e6d3c4dcb950e90284d	bac_fad50f143ebd5dfc60066f534061a2e2	0.1168
bac_4352077acff15c3823b28170a84a93cb	bac_fad50f143ebd5dfc60066f534061a2e2	0.5482
bac_7e5dc2827132ced28bb83b4c8fa16998	bac_fad50f143ebd5dfc60066f534061a2e2	-0.2068
bac_5f8b99d96b9fb65e12c944b3f8bd38b9	bac_fad50f143ebd5dfc60066f534061a2e2	-0.3173
bac_a0a0f1f2185a9b37c030febe9b9496ac	bac_fad50f143ebd5dfc60066f534061a2e2	0.0888
bac_9710e4f2e6419b188e30337e34bb3fae	bac_fad50f143ebd5dfc60066f534061a2e2	-0.2972
bac_a51e5e904dedc2c23560ac9992d2c856	bac_fad50f143ebd5dfc60066f534061a2e2	-0.1171
bac_1ce75431844bbbfc9fe9e8c651fbebf7	bac_fad50f143ebd5dfc60066f534061a2e2	-0.4263
bac_980733234dec4591bf88651db885514f	bac_fad50f143ebd5dfc60066f534061a2e2	0.2504
bac_1aecd556d15406a593386710717f99dd	bac_fad50f143ebd5dfc60066f534061a2e2	0.4243
bac_df3fda2fa3d04dd5e0838ac1b4812be8	bac_fad50f143ebd5dfc60066f534061a2e2	-0.7425
bac_f6b35c47975af3c3a00cba35c1202f06	bac_fad50f143ebd5dfc60066f534061a2e2	0.0658
bac_08012612886d8eaa4c76fb3bb5920839	bac_fad50f143ebd5dfc60066f534061a2e2	0.1834
bac_339857a9094e71ebc60a3a75a38778be	bac_fad50f143ebd5dfc60066f534061a2e2	-0.1442
bac_c872ff58ceb3b79ce316cef70bf269b8	bac_fad50f143ebd5dfc60066f534061a2e2	-0.2419
bac_c1b713d1a2d1451195effc7b1adf179c	bac_fad50f143ebd5dfc60066f534061a2e2	0.1017
bac_9e9275578b14491521478d652696aa69	bac_fad50f143ebd5dfc60066f534061a2e2	0.4226
bac_30201fbdcea3691e00d5d4710db0a6f6	bac_fad50f143ebd5dfc60066f534061a2e2	-0.3365
bac_ef9f03c285132510b106c9addbb7fe53	bac_fad50f143ebd5dfc60066f534061a2e2	0.2267
bac_67bdd00cc1a6685d59d5fb4d2da181a0	bac_fad50f143ebd5dfc60066f534061a2e2	0.1872
bac_11f4e2547c7b2f9f781a8648c6754127	bac_fad50f143ebd5dfc60066f534061a2e2	0.6847
bac_0861aab42571c3051e999c8b88406275	bac_fad50f143ebd5dfc60066f534061a2e2	-0.2002
bac_25b0beea5b7bbd107f2ab2f41cdc7606	bac_fad50f143ebd5dfc60066f534061a2e2	0.4349
bac_53fbb6ad7c7457bfcc90d7a74d5f99d4	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0113
bac_4d9c9a71444ca80b03585d97809647f9	bac_fad50f143ebd5dfc60066f534061a2e2	0.1018
bac_b02a8d33d018119dedb2db15db887bfd	bac_fad50f143ebd5dfc60066f534061a2e2	-0.5028
bac_93f52e347e69b67e42f5979bb8735255	bac_fad50f143ebd5dfc60066f534061a2e2	0.1259
bac_6d9aa14b2d532b8d9a3c1fd342c515c9	bac_fad50f143ebd5dfc60066f534061a2e2	0.3435
bac_04e7d788cbd3926b877396ea528e2636	bac_fad50f143ebd5dfc60066f534061a2e2	-0.1748
bac_7503835dfc68f50c3d82997974556840	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0361
bac_f37ff1c53a3044e23de94fa2841d200e	bac_fad50f143ebd5dfc60066f534061a2e2	0.1487
bac_b7b162821b88054ff8ff4cc3505ce036	bac_fad50f143ebd5dfc60066f534061a2e2	0.3593
bac_f82bf7406bbae4fffc8128df55972673	bac_fad50f143ebd5dfc60066f534061a2e2	0.2534
bac_e625e758ed6e5753f43da408f6af592a	bac_fad50f143ebd5dfc60066f534061a2e2	-0.4199
bac_2a53aca5bbef51395322afa72fe879f3	bac_fad50f143ebd5dfc60066f534061a2e2	-0.1876
bac_da5924ba1ff2c30dd489e95369c2fab1	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0938
bac_c798c16862dc501435104ef3e368ebf6	bac_fad50f143ebd5dfc60066f534061a2e2	0.1236
bac_2eae9eefab6485e2e98923809417e86b	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0787
bac_092cd384d5842019c5174f945635b4c0	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0488
bac_8470b46416635495b52cef72b0c6becd	bac_fad50f143ebd5dfc60066f534061a2e2	-0.4464
bac_26122fc82956c43ca1f15b191f0fa66b	bac_fad50f143ebd5dfc60066f534061a2e2	-0.1711
bac_7b6fde94ef7dd846d47232e9073c9d79	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0661
bac_968b1470919e6ed4fabeb7496448ecb2	bac_fad50f143ebd5dfc60066f534061a2e2	0.0379
bac_159968401827e6e6ea81fb7ab1185e2d	bac_fad50f143ebd5dfc60066f534061a2e2	-0.0673
bac_2ae515a98a501771b24b23ccae19d5c6	bac_fad50f143ebd5dfc60066f534061a2e2	0.345
