feature1	feature2	r
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_c798c16862dc501435104ef3e368ebf6	0.1865
bac_2eae9eefab6485e2e98923809417e86b	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0443
bac_7b6fde94ef7dd846d47232e9073c9d79	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3258
bac_968b1470919e6ed4fabeb7496448ecb2	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.5783
bac_2ae515a98a501771b24b23ccae19d5c6	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3787
bac_99445e37a2231c1efb6b01be444921f2	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.2352
bac_0a1e0c89456159256a67b43a5d3a951c	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2825
bac_9db2817f5c42be6a7bcbca662959982d	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.265
bac_2d189fced66f2afef1db00ceab357299	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.1367
bac_74c800a9e7696cc485c720c946cf3566	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0536
bac_a349afc68ea24812d020e0bae53ab45e	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.6016
bac_1e4a9dca9911524cd032a2778a38a7ee	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.3365
bac_229392b820681a5aeb2d4c3b77921922	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.1683
bac_a9a9fceabb2ded4edce03aafc300b332	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0165
bac_749ae7e23fa7a131049e5734b2e48b51	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.188
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_d69dbeb4886b17e9f37089d97d309997	0.0434
bac_b3e43471f9e9e418e78c655dd82e3187	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2933
bac_272abf16adc123ed3b9e01811cd36e9a	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2311
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_dae457dce2089ce83fd9a96ce128ec7a	-0.0556
bac_585b3143d80f6c23342a75e4307553ee	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.5826
bac_b87f5ae148b3c38213fdeca77b10b1de	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0649
bac_622da15e5f92253a2764ebd980b2d0c9	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2023
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_ccf66209185e064597ed3505a250fa15	-0.2444
bac_0ca014618cae8611b1056d121c5eab80	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0588
bac_b38a20526bd646ff2487a692b67e00df	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.3124
bac_2529bb39885d699e19a299a4fc16405a	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.2401
bac_15b86556d51ce10360c4f1575e6003c8	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.1243
bac_5646ce441e39d599fde38566fc2a3718	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.022
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_d99a174a95a9d8b41a24ed307a75f351	0.0898
bac_464882d14329426232cde52c51d0b345	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.1532
bac_3582c0207b02834a6a098b8ad976036f	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4711
bac_043ec4509f46b79a46d13dbc919a7924	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.1378
bac_591f0aad0a5b9899f7d5341a892bd16e	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.1828
bac_a3c01770be7485902942c66b05d732c6	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0556
bac_9716273aa8b614eaa0ad05c7f1842c2f	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4315
bac_7b110995ba42ff5360e4449295150364	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4638
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_e1b2a2065fed56a71252c21280552b6f	0.3788
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_fc160a35e57bed442f0cbfdb844cfae1	-0.1943
bac_5d5e543cbbaf6b818a35a8121079b140	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2067
bac_001e299c761b01fe4e92bc79575f7e1f	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2169
bac_7602c6c4678b4118765db5b36012619a	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.4266
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_dd8c8d60bfca3e1df01a4bbff8d3326e	0.2955
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_fd6b681dfd04576bd2faa39c2cd7ff7f	0.1323
bac_1055fe0a6b59638d742ec7075dc33cfd	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3528
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_f18b0846941f368a329f8a95954ce004	0.0209
bac_46f909143dcd72273012d4e16e8e9b96	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.1673
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_f1cc37ff19bc586384407bc5f20d30c5	-0.4666
bac_7719b0c07387d2f45e9d53bdad373b2a	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4376
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_d1fe785a5dc8ddb4ca07575f1da854a6	-0.1613
bac_9e8a3cdd5a1cec2fa45422b291b1d1a5	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.1407
bac_38447d4fdbd1146303f1baa54fead405	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.0997
bac_2656fe62a6ca3d61b87c97c24a5679e1	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.5783
bac_5476323c7792ed7c0c4c3e27c0f5b3c7	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4028
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_fa5a6917885ac69adcbce7ec6a3f3577	0.3022
bac_20b6227ebfc10c05469062ce91fa053e	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3265
bac_4f4dbbbc8cefdfaeaba5041bcd40eda8	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2051
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_cb41fd40c905473f164c773e54eae7af	-0.0918
bac_b81e6cc5c2412f460e7c4b4301a52fae	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.1438
bac_67fe68b10effbc7af1e15eb1d66f58af	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.308
bac_716256f8168e325a3927d14b743a8fcb	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.0466
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_f80125baf07e60239d3e8e462f7edaf8	-0.3872
bac_0a7a72cf0cbf9f815d62c85dfa0b269a	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2691
bac_8ca25cff5041670fa16425fb32d6e613	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4722
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_fe3bfe0fb89d6212113533ceda64977a	-0.175
bac_0d0e934aa58307b968617138046a38e7	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.1569
bac_afaafb1610d653ad3c42c8b910939c71	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.1659
bac_7d90c009cc71c5cff899572efc93198e	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.3302
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_f359d6b12d6df77fce3684238719e6c2	0.287
bac_3e6499f1f492d2218c1c22ae6c0af0e5	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.2632
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_d9167401bdb1cbc3adbe3b11517663eb	0.1791
bac_535104b102af17dc77ba30a4563966c4	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.5359
bac_300233c380fe5ed8b618948c02502494	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2925
bac_3cbfdc05bf16ec82426d345f8249bd53	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.3535
bac_6587ce807d3264e47f711c65c6079c6a	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3437
bac_2cc6caf989a9e905b63644a32cbd34f8	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.4924
bac_5320f74a0ac18a7e8d21f58e0e385026	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2522
bac_35db1ed3cd663fe9b91c4dc0d881cde0	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.3874
bac_bcf0a94c719792e52c9e21ffc7b41f81	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.2064
bac_ac2d7285ae1dae8d053a97ef343d8959	bac_c32e6d0ebe37ede482abf807f70f1dc6	0.2781
bac_a7aa7af1ff0230b0ba542a3aac1defbc	bac_c32e6d0ebe37ede482abf807f70f1dc6	-0.2697
bac_c32e6d0ebe37ede482abf807f70f1dc6	bac_d643cea99036e0d176323da90ff0a74e	-0.1366
