"SampleID","Site","Type","Order.q","qD","qD.LCL","qD.UCL","SC_star"
"Bac_002","3","leaf",0,75.2056454686855,73.5425152127763,76.8687757245948,0.9957
"Bac_002","3","leaf",1,40.5552992466691,37.9649061948221,43.1456922985161,0.9957
"Bac_002","3","leaf",2,18.2795063931883,15.7285270932314,20.8304856931453,0.9957
"Bac_007","3","leaf",0,64.2072354920341,61.7701033483876,66.6443676356807,0.9957
"Bac_007","3","leaf",1,37.5336003719957,34.7988631732153,40.268337570776,0.9957
"Bac_007","3","leaf",2,16.7743368616892,13.909798874159,19.6388748492195,0.9957
"Bac_008","3","leaf",0,130.253464470626,128.138272148995,132.368656792257,0.9957
"Bac_008","3","leaf",1,69.6517416353701,66.3385489311328,72.9649343396075,0.9957
"Bac_008","3","leaf",2,29.0319283994126,25.8651505185785,32.1987062802468,0.9957
"Bac_017","3","sediment_20",0,166.816629755282,165.78812592157,167.845133588994,0.9957
"Bac_017","3","sediment_20",1,104.933153980471,101.249321518321,108.616986442621,0.9957
"Bac_017","3","sediment_20",2,38.9784749835918,34.7204423710814,43.2365075961022,0.9957
"Bac_020","3","sediment_20",0,85.6724077267976,85.1459469098341,86.198868543761,0.9957
"Bac_020","3","sediment_20",1,66.5626997034103,65.6066430369913,67.5187563698293,0.9957
"Bac_020","3","sediment_20",2,52.7240956977102,51.075913050667,54.3722783447534,0.9957
"Bac_022","3","sediment_20",0,81.2328514705967,80.991522184159,81.4741807570343,0.9957
"Bac_022","3","sediment_20",1,63.710331314915,62.4303535729213,64.9903090569087,0.9957
"Bac_022","3","sediment_20",2,49.8981140321123,47.5427285432886,52.2534995209359,0.9957
"Bac_023","3","sediment_5",0,167.144073639218,161.360672797022,172.927474481414,0.9957
"Bac_023","3","sediment_5",1,113.439636475461,109.313727315369,117.565545635553,0.9957
"Bac_023","3","sediment_5",2,79.0122147494216,73.1064521185773,84.9179773802659,0.9957
"Bac_024","3","sediment_5",0,170.342231790624,169.628710141953,171.055753439296,0.9957
"Bac_024","3","sediment_5",1,124.796495995047,121.703034604999,127.889957385094,0.9957
"Bac_024","3","sediment_5",2,67.6777519856474,61.2946482764973,74.0608556947976,0.9957
"Bac_027","3","sediment_5",0,137.442425990374,133.603317371329,141.28153460942,0.9957
"Bac_027","3","sediment_5",1,85.1379667753027,79.5889478310336,90.6869857195719,0.9957
