var,imp,axis
d13C,0.00363264926433269,PC1
DOC,0.005364869430250682,PC1
POC,0.01360166763554954,PC1
HIX,0.013991041524041738,PC1
BIX,0.0034675630430627555,PC1
TDN,0.008264190842515635,PC1
TDP,0.013951402485963714,PC1
d13C,0.006486125683245957,PC2
DOC,0.006570791809345403,PC2
POC,0.0061609936186703945,PC2
HIX,0.010199099980092762,PC2
BIX,0.006321707989532282,PC2
TDN,0.0072890018067064905,PC2
TDP,0.004742559504812915,PC2
