,Kingdom,Phylum,Class,Order,Family,Genus,Species
Bac095,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,NA
Bac096,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,NA
Bac097,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,uncultured_bacterium
Bac098,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,NA
Bac099,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,NA
Bac100,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,NA
Bac101,d__Bacteria,NA,NA,NA,NA,NA,NA
Bac102,d__Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_Nitrospirae
Bac103,d__Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium
Bac104,d__Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_Sphingobacteriales
Bac105,d__Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium
Bac106,d__Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium
Bac107,d__Bacteria,Nitrospirota,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum,Leptospirillum_ferrooxidans
Bac108,d__Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_bacterium
Bac109,d__Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_Nitrospirae
Bac110,d__Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_bacterium
Bac111,d__Bacteria,Verrucomicrobiota,NA,NA,NA,NA,NA
Bac112,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,metagenome
Bac113,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac114,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac115,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac116,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac117,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Nitrospira
Bac118,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_organism
Bac119,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_organism
Bac120,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac121,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac122,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_organism
Bac123,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_organism
Bac124,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac125,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac126,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac127,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,NA
Bac128,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac129,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac130,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac131,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac132,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac133,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac134,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac135,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac136,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac137,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac138,d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,uncultured_Green
Bac139,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,NA
Bac140,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,uncultured_bacterium
Bac141,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,uncultured_bacterium
Bac142,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,uncultured_bacterium
Bac143,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,uncultured_bacterium
Bac144,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,metagenome
Bac145,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,metagenome
Bac146,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,metagenome
Bac147,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,metagenome
Bac148,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,metagenome
Bac149,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,metagenome
Bac150,d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,metagenome
Bac151,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Ferruginibacter_profundus
Bac152,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Raineyaceae,Raineya,bacterium_336/3
Bac153,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Raineyaceae,Raineya,bacterium_336/3
Bac154,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac155,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac156,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac157,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac158,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac159,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
Bac160,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,NA
