,SampleName,Description,Type,Site,replicate,d15N,d13C,HIX,BIX,POC,DOC,TN,TP,Temp,DO,EC,qpcr
Fun_042,T032,tile_l_2,tile_l,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,1.846127245
Fun_043,T030,tile_l_1,tile_l,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,6.61265647
Fun_044,T048,tile_l_4,tile_l,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,143.7161844
Fun_045,T047,tile_l_4,tile_l,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,53.00070318
Fun_046,T045,tile_l_4,tile_l,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,42.21920292
Fun_047,T049,tile_d_1,tile_d,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,1.008495809
Fun_048,T043,tile_l_4,tile_l,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,0.130106926
Fun_049,T089,sediment_5_4,sediment_5,4,2,3.3371429,-25.98343,3.23,0.77,1801.68,84,47.67,0.2,12.8,9.91,13.73,0.011906223
Fun_050,T046,tile_l_4,tile_l,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,0.143112437
Fun_051,T044,tile_l_4,tile_l,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,12.87479145
Fun_052,T090,sediment_20_1,sediment_20,1,1,1.2911429,-25.36543,4.68,0.69,102.58,46,15.18,0.1,7.8,10.79,2.33,0.175747225
Fun_053,T088,sediment_5_4,sediment_5,4,2,3.3371429,-25.98343,3.23,0.77,1801.68,84,47.67,0.2,12.8,9.91,13.73,0.263785839
Fun_054,T091,sediment_20_1,sediment_20,1,1,1.2911429,-25.36543,4.68,0.69,102.58,46,15.18,0.1,7.8,10.79,2.33,0.067441794
Fun_055,T102,sediment_20_4,sediment_20,4,1,2.5631429,-25.90543,3.05,0.78,4538.28,98,47.36,0.19,12.8,9.91,13.73,0.457978817
Fun_056,T005,leaf_1,leaf,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,1286.743108
Fun_057,T004,leaf_1,leaf,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,6148.228797
Fun_058,T002,leaf_1,leaf,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,
Fun_059,T007,leaf_2,leaf,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,12323.21436
Fun_060,T006,leaf_1,leaf,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,14018.92846
Fun_061,T085,sediment_5_4,sediment_5,4,1,3.3371429,-25.98343,3.23,0.77,1801.68,84,47.67,0.2,12.8,9.91,13.73,0.416427576
Fun_062,T003,leaf_1,leaf,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,9416.901006
Fun_063,T001,leaf_1,leaf,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,18973.74572
Fun_064,T086,sediment_5_4,sediment_5,4,1,3.3371429,-25.98343,3.23,0.77,1801.68,84,47.67,0.2,12.8,9.91,13.73,16.71238285
Fun_065,T087,sediment_5_4,sediment_5,4,2,3.3371429,-25.98343,3.23,0.77,1801.68,84,47.67,0.2,12.8,9.91,13.73,8.90358805
Fun_066,T040,tile_l_3,tile_l,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,55.32292442
Fun_067,T038,tile_l_3,tile_l,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,14.64253683
Fun_068,T042,tile_l_3,tile_l,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,150.2904118
Fun_069,T041,tile_l_3,tile_l,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,122.6004648
Fun_070,T036,tile_l_2,tile_l,2,2,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,1.294801872
Fun_071,T039,tile_l_3,tile_l,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,2.333779366
Fun_072,T037,tile_l_3,tile_l,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,35.98532006
Fun_073,T075,sediment_5_1,sediment_5,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,1.238429449
