var,imp,axis
d13C,0.0032694021636926504,PC1
DOC,0.0013928273511098048,PC1
POC,0.003720037844461749,PC1
HIX,9.050065012315479e-4,PC1
BIX,0.0015068511743598183,PC1
TDN,0.0012949373846232977,PC1
TDP,0.005576346333270893,PC1
d13C,0.0055746727882292684,PC2
DOC,0.009261040157694626,PC2
POC,0.003848442401340333,PC2
HIX,0.013274531970796272,PC2
BIX,0.008770867711992321,PC2
TDN,0.004119835819510805,PC2
TDP,0.0028726361107576865,PC2
