"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"377f9dfdf52ef6f0dca8829b2ed1eca5","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","uncultured_bacterium"
"b5e7baf37bd2b12dc3814bc561ea7990","d__Eukaryota","Euglenozoa","Kinetoplastea","Neobodonida","Neobodonida","Rhynchomonas","Thalassiosira_rotula"
"1678edf7a40929966cf805192abeddfc","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ba52527e4da2eeb1426f7210e3a016f7","d__Eukaryota","Euglenozoa","Kinetoplastea","Neobodonida","Neobodonida","Neobodonida","Rhynchobodo_sp."
"f3ba882a19759000a10f369cf899403a","d__Eukaryota","Vertebrata",NA,NA,NA,NA,NA
"d4d8f7ff359148ae150912868f59c66a","Unassigned",NA,NA,NA,NA,NA,NA
"e90e01b901b919b32e9bed5225b14519","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","Pirellula_sp."
"13801b1a4698bae29fcc5f4fc2e1daef","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"815a00ae03fb3205bf8b6bffef0263d3","d__Eukaryota","Ochrophyta","Chrysophyceae","Chromulinales","Chromulinales","Poteriospumella",NA
"f8c80ef32e5ee76774b25cbd7bba4a01","d__Eukaryota","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales","Mychonastes","uncultured_Chlorophyta"
"e0e31b48537788ff5e9e0985e42c4f7e","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134","Verrucomicrobia_bacterium"
"e84cdf2de1f23cd2f2ff97f01672bfb4","d__Eukaryota","Ciliophora","Intramacronucleata","Litostomatea",NA,NA,NA
"6f6535f55876dd6e9b7b1863e5570566","d__Eukaryota","Phragmoplastophyta","Embryophyta","Magnoliophyta","Magnoliophyta","Magnoliophyta",NA
"f5bf0e7b1ebb90dc250b3244f7380dac","d__Eukaryota","Ciliophora","Postciliodesmatophora","Heterotrichea","Heterotrichea","Stentor","Stentor_roeselii"
"69f5241902a97ac4fa9d8f8bcbff1f27","d__Eukaryota","Gastrotricha","Gastrotricha","Chaetonotida","Chaetonotida","Chaetonotida","Halichaetonotus_schromi"
"8ed3966b9d48c91abbc2b58fadc0d231","d__Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Gomphonema",NA
"48b13086f432f01c4a487f1165395fd5","d__Eukaryota","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae",NA,NA
"60af9ffd1339e831a1c1f8cebd42383a","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"748d9c8d49724bb864badced177a1c7c","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter","Pseudorhodobacter_psychrotolerans"
"c10d38ad5c75866bfead97c456e9a05f","d__Eukaryota","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales","Mychonastes","uncultured_Chlorophyta"
"9fe5bf0fd16947472bcdf4a191f60207","d__Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","Gomphonema",NA
"71deccfd9fe284bd9a5f2a0ea44e9ceb","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"8163105be678cf9341bc377c231a1192","d__Eukaryota","Ciliophora","Intramacronucleata","Litostomatea",NA,NA,NA
"beaaf2c249c0253ab5641aed4f6b335d","d__Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia",NA,NA
"a37ae300805533aa65048cf7cd791d4a","d__Eukaryota","Ciliophora","Postciliodesmatophora","Heterotrichea","Heterotrichea","Stentor","Stentor_roeselii"
"15662d961e30b14f3c602e135cb11e0f","d__Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","Bacteriovorax_stolpii"
"db963588a99dfa3aedada81bca9f80ca","d__Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","uncultured_freshwater"
