category,n_nodes,n_edges,density,transitivity,mean_deg,pos_ratio,neg_ratio,modularity,hub_rel5p
Bac–Bac,218,4878,0.20623176764046844,0.4891445172941777,44.75229357798165,0.6510865108651086,0.3489134891348914,,0.05045871559633028
Fun–Fun,177,3099,0.19895993836671802,0.43563518545384206,35.016949152542374,0.7018393030009681,0.2981606969990319,,0.06779661016949153
Bac–Fun,396,6456,0.0825469888761028,0.0,32.60606060606061,0.40675340768277574,0.5932465923172243,,0.05303030303030303
Bac–Euk,0,0,0.0,,0.0,,,,
Fun–Euk,0,0,0.0,,0.0,,,,
Euk–Euk,0,0,0.0,,0.0,,,,
