category,n_nodes,n_edges,density,transitivity,mean_deg,pos_ratio,neg_ratio,modularity,hub_rel5p
Bac–Bac,335,9549,0.17068549468227723,0.5456822368345468,57.0089552238806,0.7626976646769296,0.23730233532307043,,0.050746268656716415
Fun–Fun,242,3993,0.13692946058091288,0.5272963559806623,33.0,0.8389681943400952,0.16103180565990483,,0.05371900826446281
Bac–Fun,570,9028,0.05567169241204946,0.0,31.67719298245614,0.6188524590163934,0.3811475409836066,,0.05087719298245614
Bac–Euk,42,45,0.05226480836236934,0.0,2.142857142857143,1.0,0.0,,0.09523809523809523
Fun–Euk,81,116,0.03580246913580247,0.0,2.8641975308641974,1.0,0.0,,0.06172839506172839
Euk–Euk,4,2,0.3333333333333333,0.0,1.0,1.0,0.0,,1.0
