ASV	Kingdom
fun_5333855fb32945a487d3331c6c793040	Fungi
fun_536498ad86c36727ebca33f47cfada00	Fungi
fun_53e2f66ea5c9838b53638808c5eee304	Fungi
fun_54264f5a5422c3cc71ccc6d49629d74a	Fungi
fun_54335873164e6a3e028c2e5eeaa76392	Fungi
fun_55b50249d94b6971e097c54f10ce9f1e	Fungi
fun_567718e73bc1b502fc38a82bb73e6879	Fungi
fun_57c1928602d19022a67038d35c851d21	Fungi
fun_5848680771618eee66bc844e2db4ebd4	Fungi
fun_58c1e23d5186fc6f1a15b0453213b3b1	Fungi
fun_5a5ae0e4fa677fdd087c0f6764761214	Fungi
fun_5ce49492d8d11e0bd521e99d998bc824	Fungi
fun_5f0b44624870e672b82fc6716b8aad01	Fungi
fun_6111450ab5adf32b633de5d3dfd4b46e	Fungi
fun_62d78f5707b8cd9911c1593d8015a879	Fungi
fun_65751f8875fa9a4cc49e87f0f9edc80d	Fungi
fun_6599bfe42d8c3709907478178bacae76	Fungi
fun_66743b133436023aad67942e15edd8f9	Fungi
fun_6726e9d29c0fca426c4f440cf6cb046f	Fungi
fun_683724960932ba975963b2447692db7e	Fungi
fun_693613c84c44f7140cc3d15e45e0bfd7	Fungi
fun_69f67412f6d0f6ed8537b40d0f34e8bc	Fungi
fun_6b4ac75d52740dfbcbe2d6a3a1664755	Fungi
fun_6b7b3153f86ee62a0aacee90a0d0118c	Fungi
fun_6c2e7b127282a35015d4e99765091247	Fungi
fun_6d6e4661cedc4e067006f6428d3ccbd9	Fungi
fun_6e4dcfce19b437c5fa5b0d8d738578af	Fungi
fun_6e5acbe22fbc6a684db46a120e9f74ea	Fungi
fun_70dc98390207e1854c846db18b1ecf63	Fungi
fun_714f6a34e95c5e894dc374f0c399001f	Fungi
fun_720b2e766a3be1cfe3d9f9451e50a1cb	Fungi
fun_729dbff0ad56f74f16f888c72f9dd00f	Fungi
fun_74f42ee4275efc25354737b3abee424f	Fungi
fun_7562647057cc54e8f62f2bad26b87179	Fungi
fun_79df431e4af83054cf3aea0465a2b5ea	Fungi
fun_79f1fc8642d1a265f3f8ef5188e671ed	Fungi
fun_7a1c2fe35bf31b3e2090c15ed19bdeae	Fungi
fun_7a8e93e9b7bf5e8cdc7cad953c244980	Fungi
fun_7c935208489995e87e119cb9abc79654	Fungi
fun_7cfd3dce3e2f93d64db98db66391538b	Fungi
fun_7e6a90c3cfbacd00bd0b0d450c46c517	Fungi
fun_7e910b6456109c70bda898a1744096d4	Fungi
fun_7fe76ee825b3c77e28a7d1e70aabd4c5	Fungi
fun_81ea074dda3d567a71d9003ad53a1e52	Fungi
fun_85982f92d15dd424dd886ed97cdb9953	Fungi
fun_85b555e22d19d03795638e9d49023b94	Fungi
fun_86dd6cf93b827a3558b2d1db2b624e72	Fungi
fun_89a9d43450c83d1766c918b03ef5a1dd	Fungi
fun_8b8e1c2535a9671eabc277830c4fe8b5	Fungi
fun_8b9004935e8dcd6f085d5c15bbc0f31e	Fungi
fun_8c97ac471880e482d370a14e3f3ae4a6	Fungi
fun_8ccb4b24614a0cff2d35bc9f15b91856	Fungi
fun_8d2bad89e7f124724887d4e3036be646	Fungi
fun_8fc4fac85ee8640e9500bb5831afe6b0	Fungi
fun_90c24eb9a39afa6a01bc2d0f213e805a	Fungi
fun_9169f78999dd31b424dbd92a56a8c647	Fungi
fun_91fb579e83cb7ff05a1d8869e5e7a783	Fungi
fun_922fba29d22372624435605d293f3a28	Fungi
fun_927027479da55fe3e3a292bfe1c77169	Fungi
fun_94d917a9acb7c9f18e9f7fa62225cdf6	Fungi
fun_95b8f9cc2c8671f62fe85fb53f4289f3	Fungi
fun_967d3a3c39f2f5a5891827e7cab6e5fe	Fungi
fun_96976bd08a056451c9329025f1f9596a	Fungi
fun_96bd7367a2b284e906e524c0d3ea12bc	Fungi
fun_9855be302a9726bcdb688cf8fbb97533	Fungi
fun_9896f7b3cf9bd0b0839caa8fffa94a43	Fungi
fun_9a35064261c9384a6740bbf3bd32e5d9	Fungi
fun_9f43298cab5ca5ee9c3b780bb5045e11	Fungi
fun_9fd168d363baaa01b1e4d633e18a9eeb	Fungi
fun_9fdb180e75a8ad5624a0328db1fa0ba9	Fungi
fun_a19d8244a29617590ac41ece10a1da1e	Fungi
fun_a1d92bd186f42a95349519ddf9aa91fb	Fungi
fun_a28ee535e8e8fa5859930f429660433e	Fungi
fun_a3a2dd5aa3151535dd8270ae478a8401	Fungi
fun_a475788ef659929871471c1744ec7f3d	Fungi
fun_a4fe255622c164fec3c18952aadf3cd7	Fungi
fun_a50d58895924c58e58f8b8495530da54	Fungi
fun_a5add3cb41a06fe3777ec66eafa0d201	Fungi
fun_a8daa63b2104c88f19db8eced34b6dfb	Fungi
fun_abd808bd07f1d21933ef5ef5050116db	Fungi
fun_ad9da3724a49f61b50680ba7ee3947f4	Fungi
fun_b163c0b164dead2a98defe2c37ed3cbd	Fungi
fun_b1f9817e510086a5b0fe9a4b0b515f39	Fungi
fun_b3e776671dcc86dc99a4b20300b8a204	Fungi
fun_b52a3ea4fd6069420679caf4241c801b	Fungi
fun_b6155a78d66e06baed759508b47f4ec8	Fungi
fun_b69f758c15c65176a498709815701b3b	Fungi
fun_b6c17784863d8ca0df880e4d5c4c2170	Fungi
fun_b7c051829ba00c5bda26815a626d5010	Fungi
fun_b8f3c964119deead9855eedce61cb5eb	Fungi
fun_b9366da8994c36aa73c3fccf6dd7dd8d	Fungi
fun_b9f011d775ce8542c757dc538bf63a1f	Fungi
fun_bb99bd6ab9f193dc1ed44c3bc8e10652	Fungi
fun_bbd407d31e7038a38ba850fb80da18cf	Fungi
fun_be936537d543df721d2d6e465a097971	Fungi
fun_beefa685a70929e4573b559a14f4167c	Fungi
fun_bef14d5fca5e566de33c2d6935befb01	Fungi
fun_c1a407678371dac108feea65bf6985cf	Fungi
fun_c1a9e87b41cdbdd611acf419998c12ca	Fungi
fun_c37dd1e535482014cbb5bd9aa864c2d3	Fungi
fun_c43e10fa3b25ac02e6a37f070df3263b	Fungi
fun_c50f5ad0d4d11e01c9d20523193b6072	Fungi
fun_c5c27a42a0e914a13a8d53ed4690a8f3	Fungi
fun_c82b27575fa9351a88fd14041f56c01a	Fungi
fun_c91240be916b85f78ecb59fc7058895b	Fungi
fun_c9e8f335f00d3b1f318d2c091ecfae60	Fungi
fun_cc387c913621b6d6192ba9110f13b0a9	Fungi
fun_cde515636353f7be08077d22dc8ff61f	Fungi
fun_cdf4caaa323d4c5489f16391d139813c	Fungi
fun_ce2e769554618c58d9ebf96e0fed8762	Fungi
fun_cf618880c7f0ace7a7bdb6820ad1afa5	Fungi
fun_cfa651347c94e676f6c5fa749f7f1cf8	Fungi
fun_d1d3ea70e6d57e97a362666d1a7a7ec0	Fungi
fun_d23114abc4325b750a4be8c35cf3da99	Fungi
fun_d292815810aa92389848a499c131f1f0	Fungi
fun_d40be4ff5cf29f494c04116d28565485	Fungi
fun_d4872bb4ed88fee9b87f6d9fa33e7ce6	Fungi
fun_d6401113e9c8f82041604baeabc6b187	Fungi
fun_d854488b6221f9df4bdf40fd52992a59	Fungi
fun_daf5ad437741d76e56bec505f7560e38	Fungi
fun_dc5110758b11f79a75227a78213c4d1f	Fungi
fun_dd394169cc6ef13eb9b3fa39a501c038	Fungi
fun_df30f1edf3c23405b2d24d2705cf7707	Fungi
fun_e006c22456bda68d9c4113992dcfd9e7	Fungi
fun_e008eedc46fb56a7e7a0b1a2bdfdf8a4	Fungi
fun_e09e76cd7cbe91138eb577f7abec19b2	Fungi
fun_e104cbfccb60e47d3442725eb62e2831	Fungi
fun_e11ae9481b4e3e572aff32650e706ed1	Fungi
fun_e1e1ab7b143b6aa0345451e1f681c5ea	Fungi
fun_e2df03c4f8c4626f954265a0a08ce968	Fungi
fun_e56fa2fae3901d608b8afcbfa6d34246	Fungi
fun_e5bf6cacfa2148602d1019a699e9204f	Fungi
fun_e5f64e3d3b97684a8bc7e69deeb67de8	Fungi
fun_e6abf7e30e9be514548e9c2289410cb9	Fungi
fun_e6f3fb7d31bdd7686398707942491537	Fungi
fun_e8104086057ebd5e7750091566260a02	Fungi
fun_e852926963eba0d5fdad3a9f4fe568b6	Fungi
fun_ea444593948c664d061b7bf45776df49	Fungi
fun_ecc0925f4392de6c08c6a061329fd378	Fungi
fun_ecda94593e7d6c88cc53f98bf695da16	Fungi
fun_ef75ceb1455f5561224cd50f122108e9	Fungi
fun_f051e70aa867848fd8e5fd826f7256cc	Fungi
fun_f1a7fec31a86379af6c0e886ce615217	Fungi
fun_f1b21f756b44e75b41c8a37408af48f5	Fungi
fun_f25341d99350562755613772d36a40a0	Fungi
fun_f2fd13c8184b9fd3e3b9720be9cca2e6	Fungi
fun_f39f4c420e993636ee325e7a01eec5c4	Fungi
fun_f3fe88aa407ee2dc2c7e826f575fdfb4	Fungi
fun_f43ee544958c6f04ee300ed42bd8ab7f	Fungi
fun_f706a24cd4738a2b24c2671115b26148	Fungi
fun_fa0a4fa10b65a1a6f7cb82185fb8d973	Fungi
fun_fa78b6a254cff46e42889f9436d013dc	Fungi
fun_faa089d82d13274e9860ea4eca1b7d44	Fungi
fun_fb2832a28e377bb3e5702f77807dd28e	Fungi
fun_fb75326ddc4fb977b3b9d5b576072c4d	Fungi
fun_fc103118419fa58af686fe80d693fb9e	Fungi
fun_fd3684453f856dcc4dd937a3544c61fc	Fungi
fun_fd49afeea05ea589b5d01bc1387bc139	Fungi
fun_fd9887a5036ac9da632d6843d5b3fb70	Fungi
fun_fe2ac47fcfb209c2b977b6ba54f1f5fd	Fungi
euk_aecc5918fd8dc2b6ec5115c02e519e22	Eukaryota
euk_e1b1ede819104b16f8ed41b4bb7f43f7	Eukaryota
euk_fd3a8425d9bb2c32943dbcb47d8a23bb	Eukaryota
euk_b459a7138b2fa346b463fa4b166ba6a4	Eukaryota
euk_ead4d033d0bc5a4712f5ac01c894991b	Eukaryota
