ASV	Kingdom
bac_74c800a9e7696cc485c720c946cf3566	d__Bacteria
bac_a30256b75e77270e84f5876c2d62c7da	d__Bacteria
bac_a349afc68ea24812d020e0bae53ab45e	d__Bacteria
bac_1e4a9dca9911524cd032a2778a38a7ee	d__Bacteria
bac_229392b820681a5aeb2d4c3b77921922	d__Bacteria
bac_a9a9fceabb2ded4edce03aafc300b332	d__Bacteria
bac_749ae7e23fa7a131049e5734b2e48b51	d__Bacteria
bac_d69dbeb4886b17e9f37089d97d309997	d__Bacteria
bac_86135298ff3fd0128f0d619d6df65c22	d__Bacteria
bac_5d5482ef84ee06d0d94ac18295917250	d__Bacteria
bac_f5b26aa94c06b7bdfa92ae6b717f51b3	d__Bacteria
bac_b3e43471f9e9e418e78c655dd82e3187	d__Bacteria
bac_0948963d05fd6689e323c84fc1aabf5b	d__Bacteria
bac_272abf16adc123ed3b9e01811cd36e9a	d__Bacteria
bac_dae457dce2089ce83fd9a96ce128ec7a	d__Bacteria
bac_585b3143d80f6c23342a75e4307553ee	d__Bacteria
bac_0cd2b17c6c14eb16a9c3aebe599b9c62	d__Bacteria
bac_b87f5ae148b3c38213fdeca77b10b1de	d__Bacteria
bac_622da15e5f92253a2764ebd980b2d0c9	d__Bacteria
bac_ccf66209185e064597ed3505a250fa15	d__Bacteria
bac_a1670155b607fcc9ee12f1110fac1659	d__Bacteria
bac_0ca014618cae8611b1056d121c5eab80	d__Bacteria
bac_9b4765fa1f6303b57e4753b9bb2fd99e	d__Bacteria
bac_504c8f91ff69642c329c779a77f1bc23	d__Bacteria
bac_b38a20526bd646ff2487a692b67e00df	d__Bacteria
bac_f9f4ecf4ab4a329454db0729f6590c4d	d__Bacteria
bac_2529bb39885d699e19a299a4fc16405a	d__Bacteria
bac_15b86556d51ce10360c4f1575e6003c8	d__Bacteria
bac_5646ce441e39d599fde38566fc2a3718	d__Bacteria
bac_d99a174a95a9d8b41a24ed307a75f351	d__Bacteria
bac_464882d14329426232cde52c51d0b345	d__Bacteria
bac_de9b20469aa6f012e0778f0a30f3beca	d__Bacteria
bac_3582c0207b02834a6a098b8ad976036f	d__Bacteria
bac_043ec4509f46b79a46d13dbc919a7924	d__Bacteria
bac_591f0aad0a5b9899f7d5341a892bd16e	d__Bacteria
bac_a3c01770be7485902942c66b05d732c6	d__Bacteria
bac_9716273aa8b614eaa0ad05c7f1842c2f	d__Bacteria
bac_a5a77b70fe5db7f0da009bed0f534ffc	d__Bacteria
bac_7b110995ba42ff5360e4449295150364	d__Bacteria
bac_e1b2a2065fed56a71252c21280552b6f	d__Bacteria
bac_0b0acfad21aa4d24e32a7bd70eea6888	d__Bacteria
bac_fc160a35e57bed442f0cbfdb844cfae1	d__Bacteria
bac_3af4ab40cbc43e983c22a361f5f3acbd	d__Bacteria
bac_5d5e543cbbaf6b818a35a8121079b140	d__Bacteria
bac_001e299c761b01fe4e92bc79575f7e1f	d__Bacteria
bac_7602c6c4678b4118765db5b36012619a	d__Bacteria
bac_63cf39d71d537a1a9822e9765f7efbf9	d__Bacteria
bac_dd8c8d60bfca3e1df01a4bbff8d3326e	d__Bacteria
bac_fd6b681dfd04576bd2faa39c2cd7ff7f	d__Bacteria
bac_1055fe0a6b59638d742ec7075dc33cfd	d__Bacteria
bac_f18b0846941f368a329f8a95954ce004	d__Bacteria
bac_46f909143dcd72273012d4e16e8e9b96	d__Bacteria
bac_f1cc37ff19bc586384407bc5f20d30c5	d__Bacteria
bac_7719b0c07387d2f45e9d53bdad373b2a	d__Bacteria
bac_427676cf33136c2bc889a08b2941d433	d__Bacteria
bac_c6bbbf4397e9e45d7c6ea4a2b431881c	d__Bacteria
bac_703c27d5de4f840df6b5048b620304b4	d__Bacteria
bac_978324fe7e81e27609a58e46552282ab	d__Bacteria
bac_d1fe785a5dc8ddb4ca07575f1da854a6	d__Bacteria
bac_9e8a3cdd5a1cec2fa45422b291b1d1a5	d__Bacteria
bac_fd486d0309ed1d6734f7eba1243e88f8	d__Bacteria
bac_38447d4fdbd1146303f1baa54fead405	d__Bacteria
bac_2f3de2bca7077a59f018a27115e59e27	d__Bacteria
bac_2656fe62a6ca3d61b87c97c24a5679e1	d__Bacteria
bac_6cbd6c441c8699e0ea83ec4a923e77ab	d__Bacteria
bac_5476323c7792ed7c0c4c3e27c0f5b3c7	d__Bacteria
bac_fa5a6917885ac69adcbce7ec6a3f3577	d__Bacteria
bac_e6abed741cddf509b07cc1b4459cc685	d__Bacteria
bac_b806e0462569e4b3467b396640400484	d__Bacteria
bac_20b6227ebfc10c05469062ce91fa053e	d__Bacteria
bac_4f4dbbbc8cefdfaeaba5041bcd40eda8	d__Bacteria
bac_35800cf1a01d2fb458a18105b259edb9	d__Bacteria
bac_c7fa597481ad292d9910ad3bb3714460	d__Bacteria
bac_cb41fd40c905473f164c773e54eae7af	d__Bacteria
bac_b81e6cc5c2412f460e7c4b4301a52fae	d__Bacteria
bac_67fe68b10effbc7af1e15eb1d66f58af	d__Bacteria
bac_716256f8168e325a3927d14b743a8fcb	d__Bacteria
bac_f80125baf07e60239d3e8e462f7edaf8	d__Bacteria
bac_05caf4a22a9ec9a9e2992ce7f6ddfd82	d__Bacteria
bac_2c8a7427c65affce1cc42b4e460f6499	d__Bacteria
bac_0a7a72cf0cbf9f815d62c85dfa0b269a	d__Bacteria
bac_8ca25cff5041670fa16425fb32d6e613	d__Bacteria
bac_fe3bfe0fb89d6212113533ceda64977a	d__Bacteria
bac_2d406d26bdccc1c9f3531742f0fa00c9	d__Bacteria
bac_0d0e934aa58307b968617138046a38e7	d__Bacteria
bac_afaafb1610d653ad3c42c8b910939c71	d__Bacteria
bac_7d90c009cc71c5cff899572efc93198e	d__Bacteria
bac_f359d6b12d6df77fce3684238719e6c2	d__Bacteria
bac_3e6499f1f492d2218c1c22ae6c0af0e5	d__Bacteria
bac_d9167401bdb1cbc3adbe3b11517663eb	d__Bacteria
bac_7b9d573ab1c7718297c5c34b394b7fc5	d__Bacteria
bac_53003acda169efc1436f1cd5df87ab20	d__Bacteria
bac_535104b102af17dc77ba30a4563966c4	d__Bacteria
bac_300233c380fe5ed8b618948c02502494	d__Bacteria
bac_077241b823a43a225d95704db6bd6c84	d__Bacteria
bac_3cbfdc05bf16ec82426d345f8249bd53	d__Bacteria
bac_6587ce807d3264e47f711c65c6079c6a	d__Bacteria
bac_ecc5aaa726aa004e8fffcf14efc9623d	d__Bacteria
bac_31494407a5f81d45e76aec9be4e2f3e3	d__Bacteria
bac_2cc6caf989a9e905b63644a32cbd34f8	d__Bacteria
bac_5320f74a0ac18a7e8d21f58e0e385026	d__Bacteria
bac_2d30211ca83dbaba57bb7d08b25f6cee	d__Bacteria
bac_5ff71fc57cfb2b7d9fd9890616328b6b	d__Bacteria
bac_0ba8f372de4de2dc80ce87f523233c9f	d__Bacteria
bac_35db1ed3cd663fe9b91c4dc0d881cde0	d__Bacteria
bac_bcf0a94c719792e52c9e21ffc7b41f81	d__Bacteria
bac_ac2d7285ae1dae8d053a97ef343d8959	d__Bacteria
bac_a7aa7af1ff0230b0ba542a3aac1defbc	d__Bacteria
bac_d643cea99036e0d176323da90ff0a74e	d__Bacteria
bac_46f04a932e04853b6df0069d0fb3cc42	d__Bacteria
bac_8c6fc72823fb05802cbac1d4c143bf25	d__Bacteria
bac_b5295172e6c0b86fb736995b90829e37	d__Bacteria
bac_29e36e047a2868826c19187ce1136652	d__Bacteria
bac_a84f42c3cbe7d0f1da8107579d1c1045	d__Bacteria
bac_dc90b66bdc495bcd0029ccded7fcadb7	d__Bacteria
bac_f7b56dac2b908e79a4f3dbb070b45f29	d__Bacteria
bac_d32cd30795fbd82a026c5f3856c01d63	d__Bacteria
bac_5a87eaf83cfc98b7c1604bf380a5c720	d__Bacteria
bac_9731ee3f8e546a43b629ef0c319336f0	d__Bacteria
bac_cf058a8ea42c8bc2bb4fb7aca9a39f98	d__Bacteria
bac_a8aa3dc30871bdf25d0cd12cf2a4e662	d__Bacteria
bac_088bf73cbe014bbfbeb48239b80fe1b7	d__Bacteria
bac_ff891c66131b8d6acb62e0aeb502d6be	d__Bacteria
bac_7dfb88e682beaefde7eb8553d81b3cd6	d__Bacteria
bac_5732992f8a6309f06e9194070981e0f7	d__Bacteria
bac_88f266d288958adf97f3c43b1c0fada2	d__Bacteria
bac_b7ba5446cf7fcc0f5b325dcffe1cb8d3	d__Bacteria
bac_d1316b26e5350da36e6456499ecdfe18	d__Bacteria
bac_ba250e2d70ba8e9c0caf1e10e4acbef6	d__Bacteria
bac_fca5239a7a5efad48d2562f8706abdd3	d__Bacteria
bac_b3e7a07d8d16ff83da36a4ab4bbff1e6	d__Bacteria
bac_827032e56bba478580c37ef85db93528	d__Bacteria
bac_15a5c4df76ec68b9e4ea4c1f67d02411	d__Bacteria
bac_f480c453c7cf107e706e3f573d220186	d__Bacteria
bac_076df5bf23e82971211d273c0350b9fa	d__Bacteria
bac_526451066d0804676eaa702b980cf439	d__Bacteria
bac_018639f36967a8dc5235d01f0a2b72c7	d__Bacteria
bac_f8a44c643c11001c3520cb41b16ed66c	d__Bacteria
bac_15144e020be87b8119d01a83c1ad4c9f	d__Bacteria
bac_271ac95f3af8af5008166affb2a6bfed	d__Bacteria
bac_a2658e60622cfd35696b78e771dba152	d__Bacteria
bac_de3519a6bc05eb99db03a7ce84092a53	d__Bacteria
bac_c453a246abad8aaac3c9b9e4c6b239e4	d__Bacteria
bac_1a6207cb01a4f6c2f9994f13fa6f7d52	d__Bacteria
bac_52c28be101ba03463ed9a8e9aa5ed552	d__Bacteria
bac_dc606036a2850e41e4b7ead869d72081	d__Bacteria
bac_ef970b15e27ea5ae211ec5d5082f6035	d__Bacteria
bac_0a18941714058e5b39192aad26ae2650	d__Bacteria
bac_d67434c16b17de96d7164d582def981d	d__Bacteria
bac_d0c0bce2418d2bcd2c50b05a0180ca16	d__Bacteria
bac_020a532ccb0471ac0aaee63f30c7f373	d__Bacteria
bac_47c853dd0cbc2140c684e366ce001043	d__Bacteria
bac_693925a57276f8a3cac1a9c3e15087fc	d__Bacteria
bac_fc672ff88dc475b143532167712d4329	d__Bacteria
bac_42080baba6f05a972a4ceb625c496db0	d__Bacteria
bac_7525bfb70182ca978f5208bba1ae3396	d__Bacteria
bac_0de31c8a0a4fd7950cf7e2ead916f094	d__Bacteria
bac_4523b21dd6cbf01ee1ff11f5f9a8136b	d__Bacteria
bac_c825e8ea1b502b63b4d81c9d017f68f0	d__Bacteria
bac_1da3590990d82bc400d43e993ab090da	d__Bacteria
bac_1987f36bec5daf13a337e4e4cacf3074	d__Bacteria
bac_801eb541fd614a9a1e21a9ec9a15176e	d__Bacteria
bac_ebaf1d0da7a59cf5097d6931df3f9f95	d__Bacteria
bac_f5a1e95c331afd30ce3e20af4cf3973f	d__Bacteria
bac_72f54ba21704c606de94d4a050cda4f9	d__Bacteria
bac_2beb082b2d5e2492e737a39ca222bf7b	d__Bacteria
bac_6462a248c005a3333efd98e2a7733784	d__Bacteria
bac_6bb10da87ff975d728e853a2724c66b6	d__Bacteria
bac_cc9d571659d69eede9baf3f62bd6e022	d__Bacteria
bac_5c95a52f91ad839c41a1d658a87d59f5	d__Bacteria
bac_d73d615d9614fa9e840490c2c96efa55	d__Bacteria
bac_f3427760cf54dab539bb77c55869dc36	d__Bacteria
bac_58bf796559ffa49708669d55ca13c40d	d__Bacteria
bac_5f7a011f40b37e1bb338bf11d26d1c5a	d__Bacteria
bac_d20c3ad6689ea0b00f85a6155088343c	d__Bacteria
bac_c225452f1d8c31746626633f3b81553f	d__Bacteria
bac_20b14741ebab12eff84c72bf8a5684d9	d__Bacteria
bac_062a6a281337608b3d5a398a86f3791d	d__Bacteria
bac_f68d23fd4e733eab2b73607f31b6ba7b	d__Bacteria
bac_17612e92900c5c617b3cc92eb580c94d	d__Bacteria
bac_e1f04d3e8ca530126e01a72b01ff480d	d__Bacteria
bac_3200808fcf387a5098ab9215d6dfbfe4	d__Bacteria
bac_990e86dabe6aa3bbab93f5e100a1589f	d__Bacteria
bac_815b38163ce5a7cf45681b568f5a5a70	d__Bacteria
bac_e9a6d93653c4b25ae60dbbbb5ac60048	d__Bacteria
bac_7989f1c1a7526f8d21e29f334921c467	d__Bacteria
bac_df16a8421dea8bc9eff8d7cb5851a324	d__Bacteria
bac_9cf6c5ebab91567ad49e49c94292fea8	d__Bacteria
bac_a65adaba10277d5b07333ef94fc510a4	d__Bacteria
bac_82cbbe7948fd3fb2294667f54a6bf704	d__Bacteria
bac_f33de0f262530e1ddb20864955a61ac9	d__Bacteria
bac_b4f2bcc9e114a0c86f604bba1a467f69	d__Bacteria
bac_19c3eb7f2d7ffcdf82b0cd28433665b5	d__Bacteria
bac_0b836220dd480a937000e44bdcaeecb9	d__Bacteria
bac_0edc05b786be3adcb6b41fbab1e45225	d__Bacteria
bac_b8d105ad406e02236f4abc375b8726de	d__Bacteria
bac_c12352f26379572e5a4874b204d859bb	d__Bacteria
bac_f2834baca9640ad8c7e5240eb729f0fe	d__Bacteria
bac_dbc309f9d85c4032ae69be327dde0cf5	d__Bacteria
bac_1a83bf29475abe8d343803bb3099251e	d__Bacteria
bac_72b7d3ec913c89fc84037fb8f5336c57	d__Bacteria
bac_6fd1f5b988985e0e73faf414dff13fb5	d__Bacteria
bac_d66de631726b8583550a7cc96ced533e	d__Bacteria
bac_1ffe69088312af39f4b301a6ed9983f1	d__Bacteria
bac_9fd15d3d645cabcf0ad4aeab2225ce3d	d__Bacteria
bac_e2ffcb0513196564c567edeb9a92ef79	d__Bacteria
bac_7d9086ba6fe2277d47b854f41ebdf8b9	d__Bacteria
bac_a98dec59b5fe7d13fa54b825d7363d31	d__Bacteria
bac_bb99302be6d09f6eb71b9f4da9c656c5	d__Bacteria
bac_0ee468d83e463122fba58876980c7a41	d__Bacteria
bac_5421aaf234cfb47f14080dbd343ca4c1	d__Bacteria
bac_a5c7281402b51c653de350903fa4bb04	d__Bacteria
bac_4715d00a2315b24a3fcc1b66ae839a94	d__Bacteria
bac_9e321e51f6505c6746a761f6dc55e7f7	d__Bacteria
bac_a9fcc331b4725affdbf11d219a193ece	d__Bacteria
