category,n_nodes,n_edges,density,transitivity,mean_deg,pos_ratio,neg_ratio,modularity,hub_rel5p
Bac–Bac,199,5165,0.2621694330237044,0.5267869295610583,51.90954773869347,0.5606969990319458,0.4393030009680542,,0.05025125628140704
Fun–Fun,198,6401,0.32820591703840435,0.5269587416329646,64.65656565656566,0.541946570848305,0.458053429151695,,0.05555555555555555
Bac–Fun,397,10778,0.13711421519985753,0.0,54.297229219143574,0.4329189088884765,0.5670810911115235,,0.05793450881612091
Bac–Euk,109,211,0.03584777437988447,0.0,3.871559633027523,0.6445497630331753,0.35545023696682465,,0.3669724770642202
Fun–Euk,124,221,0.02897980592709153,0.0,3.564516129032258,0.4434389140271493,0.5565610859728507,,0.3064516129032258
Euk–Euk,3,3,1.0,1.0,2.0,0.3333333333333333,0.6666666666666667,,1.0
