category,n_nodes,n_edges,density,transitivity,mean_deg,pos_ratio,neg_ratio,modularity,hub_rel5p
Bac–Bac,230,5696,0.21629010822099867,0.5773656043810518,49.530434782608694,0.7691362359550562,0.2308637640449438,,0.05217391304347826
Fun–Fun,202,4398,0.2166395744052017,0.5194192162966174,43.54455445544554,0.7371532514779445,0.2628467485220555,,0.054455445544554455
Bac–Fun,432,9059,0.0973081550227722,0.0,41.93981481481482,0.33292857931339,0.66707142068661,,0.05092592592592592
Bac–Euk,112,178,0.028635778635778635,0.0,3.1785714285714284,0.3089887640449438,0.6910112359550562,,0.10714285714285714
Fun–Euk,101,175,0.034653465346534656,0.0,3.4653465346534653,0.8914285714285715,0.10857142857142854,,0.13861386138613863
Euk–Euk,4,2,0.3333333333333333,0.0,1.0,1.0,0.0,,1.0
