feature1	feature2	r
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_d8ec847a1b580b973a6d39850b67cff7	0.4748
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_7ef1a0dae839d9d8f6a042cdf4a6a992	0.4994
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_2df133d83b53d33a81a3fc48ac2075c6	-0.0681
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_ed894aad9c149829ff0253eb2fe043d9	0.0572
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_2c1b14313bb8fc6f13f02a14ca5e7c50	0.2525
bac_11e801efba707866d1e97aba33566102	bac_132398ae30585fc78b3f5712f4c1f5ed	-0.0588
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_ebff2c84f781472a24018db9354b867c	-0.1372
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_cc3bbc2fa5dcf3ca93a25f5da49d7d1d	-0.6068
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_554e6ed34da09de9e9a60029b084f4c6	-0.1689
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_34b00032b86600c60881db7136a38c3d	-0.1004
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_70285f7e5298ef76c6079d23decbae2d	-0.0073
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_ae101a824af3ec1acd53410b8ebf41e7	-0.0702
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_f262a1adf251a3a793d3daa235e35e73	0.1286
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_7faab38ff5285a7d3092e4a36888d786	-0.3625
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_67f48d5e7b609cccc44fe8d22d3dca0a	0.0269
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_6f545fbcb122ef26d794750b06c0d6a4	0.0099
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_7334acedf2e60af538eaff59e499c2c9	-0.143
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_b5d5b4257a5f9a836315f5896d4a47da	0.0584
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_39516e82e7b507c0659c83bbcb780dc5	-0.3595
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_2da924029cfd4c7fe3765b362a915f4a	-0.0489
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_632fb2f5131661bf841197fddaf81998	-0.0877
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_b6d81317326d18e5c954e6eae8820a6a	0.5858
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_4352077acff15c3823b28170a84a93cb	0.3981
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_7e5dc2827132ced28bb83b4c8fa16998	-0.2864
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_5f8b99d96b9fb65e12c944b3f8bd38b9	0.4733
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_a0a0f1f2185a9b37c030febe9b9496ac	0.0825
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_9710e4f2e6419b188e30337e34bb3fae	-0.0841
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_89a9315cf654d6b3654d01ece8b68ebd	0.3895
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_a51e5e904dedc2c23560ac9992d2c856	-0.0773
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_af35e69a9597d7237c3ccf81ea1985db	-0.3675
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_c812ac66f67d86647c3977e441842eb8	-0.2611
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_a7b4ad116ebb0b0ac9ff5c47c9b3a883	-0.3851
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_c487be9441ef274e208cf4e7199b9bd3	-0.3654
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_1ce75431844bbbfc9fe9e8c651fbebf7	0.5145
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_1aecd556d15406a593386710717f99dd	-0.0063
bac_0949c5c8f7512f748fde872a4a5f3912	bac_132398ae30585fc78b3f5712f4c1f5ed	0.0634
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_df3fda2fa3d04dd5e0838ac1b4812be8	0.4322
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_f6b35c47975af3c3a00cba35c1202f06	0.2192
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_339857a9094e71ebc60a3a75a38778be	0.024
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_c872ff58ceb3b79ce316cef70bf269b8	0.3159
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_ef9f03c285132510b106c9addbb7fe53	0.0029
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_67bdd00cc1a6685d59d5fb4d2da181a0	0.1943
bac_11f4e2547c7b2f9f781a8648c6754127	bac_132398ae30585fc78b3f5712f4c1f5ed	-0.1003
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_53fbb6ad7c7457bfcc90d7a74d5f99d4	0.0694
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_b02a8d33d018119dedb2db15db887bfd	0.5811
bac_132398ae30585fc78b3f5712f4c1f5ed	bac_93f52e347e69b67e42f5979bb8735255	0.0668
